date,Tugs,Fishing,Barges,Other,Tanker,Merchant,PleasureCrafts,Excursion
2011-01-01,242,200,61,0,912,2137,85,1
2011-01-15,292,270,95,0,1190,3084,89,1
2011-02-01,295,205,124,0,957,3031,78,1
2011-02-15,193,156,102,0,976,2566,68,3
2011-03-01,287,206,94,0,1171,3038,87,14
2011-03-15,353,318,164,0,1192,3692,135,15
2011-04-01,503,341,151,5,1169,4421,134,24
2011-04-15,565,325,155,1,1348,4742,139,87
2011-05-01,567,308,150,8,1492,4890,133,282
2011-05-15,726,278,165,0,1484,5484,167,496
2011-06-01,589,405,172,1,1308,5383,241,723
2011-06-15,708,307,200,0,1356,5525,194,981
2011-07-01,638,346,213,0,1330,5102,218,1127
2011-07-15,732,379,230,0,1446,5680,215,1399
2011-08-01,699,416,199,0,1253,5320,226,1296
2011-08-15,700,468,253,26,1536,5789,252,1167
2011-09-01,672,371,217,31,1313,5288,211,815
2011-09-15,674,370,239,23,1339,5678,207,729
2011-10-01,564,363,256,10,1322,5632,124,404
2011-10-15,607,352,288,2,1328,5647,134,180
2011-11-01,523,382,284,7,1292,5140,107,33
2011-11-15,523,283,269,3,1217,5363,77,9
2011-12-01,543,173,247,4,1167,5038,75,30
2011-12-15,464,146,126,4,1164,5044,83,17
2012-01-01,414,267,145,4,1030,3943,75,4
2012-01-15,582,189,199,7,1073,3458,75,8
2012-02-01,475,199,189,11,1031,3105,63,5
2012-02-15,421,123,182,13,920,2705,75,10
2012-03-01,403,137,224,8,789,2847,91,5
2012-03-15,473,233,160,10,1162,3822,41,5
2012-04-01,597,254,185,7,1078,4373,51,48
2012-04-15,581,306,240,7,1079,4593,65,70
2012-05-01,607,295,212,14,1214,4859,81,199
2012-05-15,672,314,225,4,1449,5608,72,555
2012-06-01,739,393,201,4,1385,5497,77,821
2012-06-15,847,357,179,6,1443,5476,69,1168
2012-07-01,622,343,206,11,1347,5633,205,1512
2012-07-15,857,336,190,14,1404,5767,266,1652
2012-08-01,799,397,218,3,1308,5387,152,1434
2012-08-15,726,465,213,6,1392,5818,164,1481
2012-09-01,686,354,221,3,1221,5661,143,863
2012-09-15,620,374,267,5,1198,5865,105,530
2012-10-01,604,381,238,6,1186,5478,77,303
2012-10-15,672,328,289,1,1278,5726,57,95
2012-11-01,575,279,190,9,1206,5131,30,33
2012-11-15,544,262,146,9,1270,5310,28,27
2012-12-01,607,218,212,13,1266,5044,26,42
2012-12-15,542,135,101,0,1222,4906,5,23
2013-01-01,506,244,113,6,1068,3647,0,19
2013-01-15,558,174,131,6,1007,3109,3,7
2013-02-01,533,140,152,7,1012,2924,0,5
2013-02-15,500,131,125,9,828,2842,1,24
2013-03-01,509,160,133,6,904,3135,38,14
2013-03-15,656,230,141,13,1127,4009,55,14
2013-04-01,693,252,216,6,1149,4343,66,22
