Month,Traffic
1-1-2011,180
2-1-2011,183
3-1-2011,260
4-1-2011,293
5-1-2011,302
6-1-2011,341
7-1-2011,329
8-1-2011,343
9-1-2011,345
10-1-2011,344
11-1-2011,306
12-1-2011,241
1-1-2012,198
2-1-2012,186
3-1-2012,265
4-1-2012,281
5-1-2012,339
6-1-2012,357
7-1-2012,323
8-1-2012,348
9-1-2012,338
10-1-2012,346
11-1-2012,317
12-1-2012,237
1-1-2013,186
2-1-2013,190
3-1-2013,233
4-1-2013,267
5-1-2013,296
6-1-2013,302
7-1-2013,332
8-1-2013,330
9-1-2013,342
10-1-2013,350
11-1-2013,315
12-1-2013,280
1-1-2014,202
2-1-2014,194
3-1-2014,226
4-1-2014,320
5-1-2014,361
6-1-2014,357
7-1-2014,385
8-1-2014,379
9-1-2014,330
10-1-2014,358
11-1-2014,342
12-1-2014,262
1-1-2015,210
2-1-2015,213
3-1-2015,213
4-1-2015,326
5-1-2015,296
6-1-2015,331
7-1-2015,316
8-1-2015,354
9-1-2015,369
10-1-2015,345
11-1-2015,317
12-1-2015,248
1-1-2016,182
2-1-2016,203
3-1-2016,245
4-1-2016,293
5-1-2016,289
6-1-2016,320
7-1-2016,305
8-1-2016,342
9-1-2016,342
10-1-2016,339
11-1-2016,340
12-1-2016,290
1-1-2017,202
2-1-2017,203
3-1-2017,252
4-1-2017,305
5-1-2017,309
6-1-2017,354
7-1-2017,333
8-1-2017,348
9-1-2017,354
10-1-2017,337
11-1-2017,372
12-1-2017,286
1-1-2018,216
2-1-2018,217
3-1-2018,235
4-1-2018,314
5-1-2018,331
6-1-2018,364
7-1-2018,352
8-1-2018,389
9-1-2018,367
10-1-2018,348
11-1-2018,357
12-1-2018,272
1-1-2019,210
2-1-2019,214
3-1-2019,250
4-1-2019,315
5-1-2019,367
6-1-2019,339
7-1-2019,335
8-1-2019,384
9-1-2019,367
10-1-2019,331
11-1-2019,338
12-1-2019,240
1-1-2020,195
2-1-2020,182
3-1-2020,243
4-1-2020,280
5-1-2020,255
6-1-2020,291
7-1-2020,319
8-1-2020,307
9-1-2020,327
10-1-2020,322
11-1-2020,319
12-1-2020,265
1-1-2021,170
2-1-2021,165
3-1-2021,203
4-1-2021,269
5-1-2021,283
6-1-2021,256
7-1-2021,342
8-1-2021,320
9-1-2021,339
10-1-2021,305
11-1-2021,306
12-1-2021,273
1-1-2022,1
