Harbour,Traffic
Halifax Harbour,161321
Montreal,122844
St. John's,110029
Vancouver Harbour,105707
Fraser River Harbour,59992
Quebec,43310
Nanaimo Harbour,23626
Prince Rupert Harbour,19597
Broughton Strait Harbour,19471
Seattle Harbour,18924
Swartz Bay Bc Ferry Terminal,18582
Strait Of Canso,17934
Tacoma Harbour,17278
Detroit,16727
Sept-iles,14724
Roberts Bank Harbour (pacific),12667
Nanticoke,12565
Hamilton,12472
"Sarnia, Ontario",12403
Whiffen Head,12293
Trois-rivieres,11678
Baie Comeau,11254
Port-cartier,10070
Victoria Harbour,9737
Come By Chance,9700
Windsor On,9151
Matane,9112
"Superior, Wisconsin",9095
Tadoussac,9073
Thunder Bay,8908
Longueuil,8461
Sorel,8243
Port Alberni,7799
Port Hardy Harbour,7700
Port-alfred,7463
Toledo,7370
Port Hawkesbury,6625
Cleveland,6487
Howe Sound Harbour,6299
Sault-ste-marie,5752
Duluth Minnesota,5746
Blanc Sablon,5680
"Two Harbours, Minnesota",5473
Rose Blanche Harbour,5389
"Fishing Zone, Sector 2",5122
Campbell River Harbour,5098
White Rose Oil Field Harbour,5063
Hibernia Platform,5001
Constance Bank Anchorage,4795
Little Bay Islands,4789
Goderich,4626
Port Angeles Harbour,4524
"Marquette, Michigan",4371
Clarkson,4153
Toronto,3889
Cap Aux Meules,3770
Menzies Bay Harbour,3631
Belledune,3554
Riviã¨re-du-loup,3551
Anacortes Harbour,3520
Wyandotte,3408
Sydney,3404
Becancour,3278
Terra Nova Oil Field,3258
Argentia,3243
Burns Harbor Indiana,3230
"Gary, Indiana",3090
St-simã©on,3021
Anse St-jean,3016
Ville De La Baie Harbour,2973
Ile-aux-coudres,2958
Rimouski,2805
Friday Harbour,2681
"St Clair, Michigan",2656
Sable Island,2641
"Indiana Harbor, Indiana",2606
Petit Forte,2536
South East Bight,2519
"Calcite, Michigan",2462
Sandusky,2392
Shearwater Harbour,2384
Charlottetown Pei,2225
Ashtabula,2187
Corner Brook,2144
Colborne,2128
St-pierre Et Miquelon,2108
Conneaut,2096
Bath,2071
Kitimat Harbour,2035
Baie Ste-catherine,2003
Mulgrave,1978
Cape Porcupine,1955
Picton,1931
Cherry Point Harbour,1916
Valleyfield,1915
"Stoneport, Michigan",1892
Bell Island,1881
Chicago Illinois,1848
Meldrum Bay,1790
Cacouna,1712
Souris,1669
Monroe,1658
Crofton Harbour,1650
Grosse Point Yacht Club,1623
Silver Bay Minnesota,1609
Cã´te Ste-catherine,1575
Chicoutimi,1569
Long Island,1547
Bayside,1536
Arnold's Cove,1525
Havre St-pierre,1510
Welland Canal,1501
Bellingham Bay Harbour,1471
Blacks Harbour,1456
Southern Labrador Bank,1399
Bay Roberts,1388
Cowichan Anchorage,1352
Bay Bulls,1342
Everett Harbour,1323
St. Barbe,1316
Lower Cove,1291
Gaspã©,1262
Long Pond,1260
Bella Bella Harbour,1255
"Milwaukee, Wisconsin",1227
"Corunna, Ontario",1226
Seachart Lodge Harbour,1173
Grande Entrã©e (iles De La Madeleine),1114
Klemtu Harbour,1107
Lewisporte,1084
Oshawa,1066
Oswego,1061
Buffalo,1056
Bruce Mines Harbour,1055
Plumper Sound Anchorage,1046
Hebron Platform,1016
Harbour Grace,984
Marblehead,928
"Drummond Island, Michigan",915
French Creek Harbour,913
Oakville,896
Pugwash,887
Shillshole Harbour,872
Bowmanville,857
Powell River Harbour,838
Nain,827
Eastport Harbour,811
Yarmouth,808
Brockville,808
Port Daniel,802
Trincomali Channel Anchorage,799
"Green Bay, Wisconsin",791
Ferndale Harbour,771
"Alpena, Michigan",771
Berthier,761
Man O War Cove,751
Saltery Bay Ferry Dock Harbour,717
Fairport,708
Prescott,702
Kingston,697
Fortune,693
Gananoque,681
Johnstown Harbour,664
Milne Inlet,660
Goose Bay,650
Deception Bay,643
Lund Harbour,631
"Fishing Zone, Sector 1",627
St. Anthony,624
Ladysmith Anchorage,622
"Sombra, Ontario",614
Sainte Rose Du Nord,613
Cadboro Bay Harbour,600
Pointe-au-pic,585
Bull Harbour,582
Flemish Cap,562
Eastern Passage,562
Port Townsend Harbour,554
Royal Roads Anchorage,553
Port Aux Basques,551
Baker Lake/qaminituak,546
Kingsville,544
Esquimalt Harbour,533
Iqaluit,533
Marystown,529
Tail Bank,529
False Bay Harbour,526
Lorain,520
North Head,517
Fishing East,514
Thessalon,508
Rankin Inlet/kangiqliniq,503
Pictou,500
Koluktoo Bay,491
Crysler Marina,487
Rochester,485
"Marine City, Michigan",484
"Erie, Pennsylvania",481
Buccaneer Bay Harbour,479
Cedarville Harbour,472
Olympia Harbour,462
Montague Harbour,458
Ocean Falls Harbour,437
South Brook Harbour,430
Beaver Harbour,420
Black Tickle,419
Les Mechins,413
North Harbour,410
Harbour Breton,399
Pond Inlet/mittimatalik,380
Godbout,378
Bull Arm,376
Summerside,375
Chenal Du Moine,371
Port Weller,369
Fulford Harbour,364
Port Colborne,363
"Marysville, Michigan",362
"Essexville, Michigan",360
Forestville,358
Mizzen Oil Field Harbour,354
Grande Vallã‰e,351
Kegaska,347
Chemaninus Harbour,346
Sheet Harbour,345
Voisey Bay,342
Houston Pass Anchorage,342
Charlevoix Harbour,341
Rockport,326
Long Harbour,324
Holyrood,316
Bronte,314
Salluit (saglouc),314
Nose Bank,307
Springdale,305
Loon Bay Harbour,304
Shelburne,303
Chandler,302
Pylades Channel Anchorage,302
La Tabatiã¨re,300
"Manistee, Michigan",299
"Bay City, Michigan",295
Ogdensburg,290
Mississauga Port,289
Comox Harbour,287
Nuuk/godthaab,283
La Romaine,282
Parry Sound,278
Little Current,278
Bamberton Harbour,277
Ganges Harbour,277
Sainte Anne Des Monts,271
Kelsey Bay Harbour,270
Conception Bay Harbour,270
"Saginaw, Michigan",269
Andy's Ledge Harbour,268
Roch Harbour,263
Riviã¨re-au-renard,261
Lachine Harbour,256
Churchill,255
Coteau Landing Harbour,253
St Pierre Bank,251
Natashquan,251
Kuujjuaq (fort Chimo),251
"Huron, Ohio",244
Gaultois Harbour,238
"Port Dolomite, Michigan",238
Placentia,233
"Courtright, Ontario",230
"Tawas City, Michigan",230
Baie Eternite,230
Clayton Harbour,229
Owen Sound,227
Fishing West,225
Chesterfield Inlet/igluligaarjuk,224
Midland,223
St-augustin,223
Port Menier,220
Port Neville Harbour,219
"Muskegon, Michigan",218
Cap-ã€-l'aigle,212
Country Harbour,211
Harrington,211
Trenton Usa,210
Seal Cove Harbour,210
Patricia Bay Harbour,208
Morrisburg Harbour,207
Sidney Harbour,205
Cambridge Bay/ikaluktutiak,204
Snb Fishing Area,201
Cape Dorset/kingait,200
Erebus Bay / Beechey Island,200
Neuville,200
L'anse-au-loup,195
Stag Bay Harbour,193
Port Inland Harbour,193
