date,Barges,Excursion,Fishing,Merchant,Other,Pleasure Crafts,Tanker,Tugs
2011-01-01,1,0,2,27,0,6,21,12
2011-01-02,0,0,7,44,0,6,43,12
2011-01-03,0,0,7,79,0,4,45,12
2011-01-04,1,0,4,94,0,0,55,17
2011-01-05,1,0,6,96,0,4,56,20
2011-01-06,1,0,4,140,0,6,61,18
2011-01-07,3,0,6,142,0,8,60,14
2011-01-08,1,0,8,164,0,5,64,17
2011-01-09,1,0,7,152,0,6,66,15
2011-01-10,3,0,10,153,0,4,71,21
2011-01-11,6,0,25,207,0,0,73,14
2011-01-12,14,0,29,202,0,4,76,25
2011-01-13,15,0,36,205,0,11,75,12
2011-01-14,9,0,26,210,0,10,79,13
2011-01-15,5,1,23,222,0,11,67,20
2011-01-16,3,1,23,195,0,6,77,14
2011-01-17,2,0,20,211,0,8,77,14
2011-01-18,7,0,18,241,0,0,85,23
2011-01-19,9,0,14,214,0,4,77,19
2011-01-20,9,0,23,204,0,8,70,22
2011-01-21,6,0,15,193,0,9,82,24
2011-01-22,8,0,15,170,0,5,76,13
2011-01-23,6,0,15,159,0,6,72,13
2011-01-24,1,0,17,161,0,5,73,11
2011-01-25,3,0,17,195,0,1,73,17
2011-01-26,6,0,20,184,0,9,73,15
2011-01-27,9,0,17,208,0,7,67,19
2011-01-28,6,0,9,188,0,5,65,18
2011-01-29,5,0,12,191,0,6,74,27
2011-01-30,5,0,16,190,0,6,77,16
2011-01-31,10,0,19,180,0,4,72,27
2011-02-01,10,0,8,209,0,2,68,22
2011-02-02,5,0,8,217,0,7,63,23
2011-02-03,4,0,8,219,0,6,76,25
2011-02-04,11,0,20,211,0,7,63,25
2011-02-05,8,0,15,214,0,5,68,18
2011-02-06,7,0,26,184,0,6,64,21
2011-02-07,10,0,11,191,0,4,71,22
2011-02-08,11,0,14,215,0,0,68,23
2011-02-09,12,0,14,192,0,4,59,15
2011-02-10,15,0,9,194,0,8,56,19
2011-02-11,7,0,20,199,0,9,64,20
2011-02-12,4,0,15,200,0,6,58,25
2011-02-13,2,0,11,195,0,7,59,11
2011-02-14,6,0,14,187,0,4,60,11
2011-02-15,12,1,12,204,0,3,60,15
2011-02-16,8,0,11,194,0,4,70,18
2011-02-17,8,0,9,211,0,6,74,18
2011-02-18,7,0,9,178,0,7,72,17
2011-02-19,11,0,7,186,0,5,69,14
2011-02-20,6,1,12,193,0,6,72,11
2011-02-21,6,0,12,198,0,7,73,18
2011-02-22,5,0,6,198,0,1,81,14
2011-02-23,9,0,9,210,0,5,75,15
2011-02-24,6,0,22,218,0,6,86,18
2011-02-25,10,1,24,218,0,6,80,10
2011-02-26,10,1,10,193,0,3,71,6
2011-02-27,9,0,12,179,0,6,75,18
2011-02-28,7,0,13,190,0,6,78,16
2011-03-01,7,1,13,193,0,0,75,24
2011-03-02,5,1,7,179,0,5,77,28
2011-03-03,7,1,8,204,0,6,79,18
2011-03-04,9,1,10,213,0,8,84,23
2011-03-05,10,1,20,207,0,6,83,13
2011-03-06,12,1,16,192,0,6,75,17
2011-03-07,6,1,21,208,0,6,70,28
2011-03-08,7,1,18,198,0,0,73,19
2011-03-09,10,1,8,188,0,8,75,18
2011-03-10,5,1,11,197,0,10,82,19
2011-03-11,4,1,10,199,0,9,74,14
2011-03-12,3,2,12,187,0,5,76,17
2011-03-13,2,1,30,322,0,6,125,18
2011-03-14,4,0,10,171,0,6,64,12
2011-03-15,3,0,12,180,0,6,59,19
2011-03-16,5,0,18,194,0,8,60,16
2011-03-17,8,0,16,219,0,11,74,17
2011-03-18,15,1,18,200,0,12,75,20
2011-03-19,5,3,21,201,0,8,80,16
2011-03-20,9,0,19,194,0,7,71,14
2011-03-21,8,0,15,206,0,6,66,24
2011-03-22,4,0,22,215,0,6,75,32
2011-03-23,6,0,28,224,0,6,67,18
2011-03-24,12,2,20,239,0,10,74,20
2011-03-25,15,0,22,245,0,6,77,16
2011-03-26,7,3,17,230,0,5,69,18
2011-03-27,8,3,18,238,0,7,73,26
2011-03-28,15,1,15,252,0,11,79,20
2011-03-29,13,0,15,280,0,5,82,25
2011-03-30,16,2,25,279,0,16,87,32
2011-03-31,18,0,29,276,0,11,83,39
2011-04-01,17,0,33,264,0,16,89,24
2011-04-02,11,2,14,269,0,5,87,23
2011-04-03,13,3,34,259,0,10,75,25
2011-04-04,8,0,17,284,0,9,71,25
2011-04-05,2,1,23,274,0,6,73,33
2011-04-06,17,1,18,279,0,8,74,40
2011-04-07,12,1,25,323,0,9,76,39
2011-04-08,11,2,20,327,0,11,73,38
2011-04-09,3,3,26,314,1,6,85,39
2011-04-10,4,3,23,282,0,5,79,25
2011-04-11,6,1,29,296,0,8,80,33
2011-04-12,6,2,18,297,4,5,75,38
2011-04-13,19,2,23,335,0,12,83,43
2011-04-14,13,2,13,306,0,11,68,43
2011-04-15,9,1,25,312,0,13,81,35
2011-04-16,5,4,35,306,0,7,86,30
2011-04-17,11,4,26,287,0,6,74,30
2011-04-18,11,3,28,301,0,5,84,36
2011-04-19,14,6,26,315,0,10,83,37
2011-04-20,24,6,25,309,0,13,84,47
2011-04-21,11,5,15,332,0,16,88,40
2011-04-22,9,4,26,312,1,11,91,39
2011-04-23,4,6,22,322,0,7,89,33
2011-04-24,7,5,17,310,0,7,97,31
2011-04-25,5,4,16,316,0,5,88,34
2011-04-26,8,2,28,323,0,8,101,52
2011-04-27,12,2,10,323,0,11,106,45
2011-04-28,12,3,15,323,0,13,98,33
2011-04-29,13,14,14,344,0,13,92,42
2011-04-30,9,19,22,319,0,7,87,36
2011-05-01,12,17,16,313,1,9,98,37
2011-05-02,7,12,23,299,0,6,91,32
2011-05-03,12,13,25,318,1,9,88,39
2011-05-04,14,17,27,326,0,7,100,36
2011-05-05,11,19,20,322,0,10,95,42
2011-05-06,8,24,18,305,0,14,102,35
2011-05-07,14,22,17,322,0,6,96,29
2011-05-08,5,21,26,320,1,8,104,27
2011-05-09,7,17,19,328,1,8,109,42
2011-05-10,11,15,16,355,1,6,110,48
2011-05-11,11,19,18,333,1,12,93,51
2011-05-12,9,17,18,338,1,12,95,34
2011-05-13,8,25,22,325,1,11,102,31
2011-05-14,11,25,23,346,0,7,110,45
2011-05-15,10,19,20,340,0,8,99,39
2011-05-16,4,8,12,327,0,10,86,48
2011-05-17,12,15,19,319,0,6,89,50
2011-05-18,14,26,14,339,0,10,92,44
2011-05-19,11,27,15,357,0,13,101,51
2011-05-20,9,37,15,366,0,14,102,39
2011-05-21,6,50,16,356,0,8,105,54
2011-05-22,9,52,15,344,0,10,95,45
2011-05-23,4,31,12,338,0,10,102,42
2011-05-24,10,19,13,363,0,7,99,52
2011-05-25,19,27,22,330,0,13,88,50
2011-05-26,13,29,16,345,0,16,96,52
2011-05-27,8,25,14,346,0,14,90,39
2011-05-28,9,38,22,345,0,8,83,46
2011-05-29,11,47,17,327,0,9,87,34
2011-05-30,15,33,25,333,0,9,81,32
2011-05-31,11,32,31,349,0,10,88,48
2011-06-01,16,43,23,340,1,17,95,40
2011-06-02,13,33,36,343,0,13,96,45
2011-06-03,7,51,25,362,0,20,99,44
2011-06-04,10,65,31,366,0,9,93,40
2011-06-05,7,54,33,361,0,11,95,40
2011-06-06,10,48,29,362,0,13,84,48
2011-06-07,18,46,23,359,0,13,81,50
2011-06-08,23,49,24,358,0,18,83,35
2011-06-09,8,47,27,346,0,21,81,36
2011-06-10,8,57,33,351,0,24,82,35
2011-06-11,7,62,22,358,0,15,82,41
2011-06-12,8,50,30,356,0,17,80,33
2011-06-13,11,28,25,355,0,18,81,30
2011-06-14,11,38,20,382,0,15,86,37
2011-06-15,15,52,24,384,0,17,90,35
2011-06-16,9,51,23,362,0,12,94,41
2011-06-17,9,79,17,406,0,16,85,51
2011-06-18,9,73,17,371,0,9,93,40
2011-06-19,13,67,30,385,0,10,91,30
2011-06-20,12,73,27,376,0,13,85,50
2011-06-21,17,57,30,369,0,10,87,49
2011-06-22,13,64,19,354,0,18,92,46
2011-06-23,16,54,18,362,0,17,87,54
2011-06-24,7,50,17,357,0,17,97,49
2011-06-25,11,66,13,369,0,9,92,44
2011-06-26,12,70,16,367,0,12,94,41
2011-06-27,13,77,16,367,0,13,96,53
2011-06-28,23,64,23,369,0,10,82,61
2011-06-29,23,69,20,365,0,12,88,48
2011-06-30,13,67,21,346,0,16,93,51
2011-07-01,11,88,27,350,0,21,93,26
2011-07-02,11,81,25,324,0,12,91,37
2011-07-03,9,82,21,330,0,13,86,40
2011-07-04,11,63,22,324,0,10,86,35
2011-07-05,11,64,24,352,0,8,86,51
2011-07-06,19,62,27,339,0,14,85,53
2011-07-07,18,65,19,349,0,20,94,41
2011-07-08,17,85,23,356,0,21,91,45
2011-07-09,13,92,28,337,0,20,87,30
2011-07-10,17,82,27,353,0,17,88,33
2011-07-11,15,52,22,349,0,12,91,43
2011-07-12,13,60,22,328,0,7,78,45
2011-07-13,17,85,21,328,0,11,83,39
2011-07-14,15,85,15,339,0,10,96,47
2011-07-15,16,81,23,344,0,22,95,73
2011-07-16,5,83,24,356,0,16,100,47
2011-07-17,13,92,25,345,0,20,102,53
2011-07-18,11,72,25,346,0,13,100,56
2011-07-19,20,67,33,361,0,11,99,47
2011-07-20,20,81,30,339,0,15,85,59
2011-07-21,24,88,26,367,0,21,96,56
2011-07-22,20,90,21,365,0,16,92,50
2011-07-23,12,109,18,360,0,11,94,44
2011-07-24,17,106,23,357,0,5,90,40
2011-07-25,10,75,24,363,0,4,86,45
2011-07-26,14,60,23,355,0,11,88,42
2011-07-27,14,79,18,350,0,13,98,38
2011-07-28,10,90,30,356,0,14,87,45
2011-07-29,7,88,21,344,0,17,81,44
2011-07-30,17,106,21,350,0,13,77,42
2011-07-31,16,113,17,366,0,15,71,24
2011-08-01,10,89,15,348,0,10,70,40
2011-08-02,12,80,26,346,0,13,80,40
2011-08-03,9,79,22,348,0,19,75,56
2011-08-04,17,76,24,366,0,19,80,75
2011-08-05,20,86,34,400,0,18,82,56
2011-08-06,7,116,31,378,0,18,80,40
2011-08-07,13,82,36,338,0,14,83,32
2011-08-08,18,86,32,354,0,12,80,34
2011-08-09,17,74,27,337,0,9,82,45
2011-08-10,10,76,33,341,0,14,94,51
2011-08-11,18,82,28,347,0,17,86,44
2011-08-12,16,98,26,345,0,14,87,54
2011-08-13,9,101,24,356,0,14,93,38
2011-08-14,9,98,26,355,0,19,92,50
2011-08-15,14,73,32,361,0,16,89,44
2011-08-16,25,78,25,354,0,16,98,49
2011-08-17,20,92,27,350,0,17,93,49
2011-08-18,14,89,28,378,0,21,98,53
2011-08-19,12,74,26,378,0,22,95,42
2011-08-20,12,111,28,369,0,18,97,35
2011-08-21,11,70,27,366,3,12,96,28
2011-08-22,15,52,22,354,3,8,96,38
2011-08-23,18,69,21,369,3,7,96,47
2011-08-24,25,88,31,359,2,15,93,51
2011-08-25,16,67,42,366,3,22,94,45
2011-08-26,19,78,33,373,2,17,99,38
2011-08-27,19,94,44,367,2,16,91,43
2011-08-28,14,46,34,367,2,14,95,34
2011-08-29,13,55,23,325,2,15,97,34
2011-08-30,10,44,33,357,2,9,103,52
2011-08-31,10,60,24,357,2,23,95,62
2011-09-01,17,65,31,365,2,19,95,59
2011-09-02,11,55,25,359,2,21,93,47
2011-09-03,15,90,25,372,2,14,98,32
2011-09-04,9,77,29,359,2,16,93,38
2011-09-05,5,53,22,320,2,10,95,30
2011-09-06,16,33,23,319,2,6,85,48
2011-09-07,12,34,21,333,2,11,81,45
2011-09-08,16,42,22,332,2,12,81,50
2011-09-09,18,52,23,359,2,13,83,44
2011-09-10,15,74,25,357,2,13,82,43
2011-09-11,10,69,25,351,2,16,85,33
2011-09-12,19,52,19,367,2,12,86,52
2011-09-13,20,45,25,369,2,13,85,56
2011-09-14,12,51,29,363,3,20,85,51
2011-09-15,22,23,27,363,2,15,86,44
2011-09-16,17,42,26,375,3,12,87,43
2011-09-17,17,61,23,371,2,13,100,33
2011-09-18,14,72,24,367,6,14,95,33
2011-09-19,25,36,18,362,2,15,92,55
2011-09-20,25,47,16,380,2,13,90,63
2011-09-21,23,59,24,394,3,23,86,48
2011-09-22,12,34,25,381,1,19,85,52
2011-09-23,9,42,28,383,0,19,93,50
