date,Other,Tugs,Fishing,Barges,Tanker,Pleasure Crafts,Excursion,Merchant
2011-01-10,0,158,61,12,542,49,0,1091
2011-01-20,0,176,237,79,756,62,2,2111
2011-01-30,0,200,172,65,804,63,0,2019
2011-02-10,0,213,133,93,656,49,0,2046
2011-02-20,0,160,120,71,658,57,2,1947
2011-02-30,0,115,108,62,619,40,2,1604
2011-03-10,0,207,132,78,773,55,10,1979
2011-03-20,0,163,166,58,758,78,8,2067
2011-03-30,0,270,226,122,832,89,11,2684
2011-04-10,1,311,233,98,782,85,16,2875
2011-04-20,4,372,248,118,798,90,31,3064
2011-04-30,1,385,185,90,937,98,64,3224
2011-05-10,5,367,207,101,993,83,177,3208
2011-05-20,3,432,176,99,969,103,218,3390
2011-05-30,0,494,203,115,1014,114,383,3776
2011-06-10,1,413,284,120,889,159,493,3548
2011-06-20,0,388,235,104,867,142,573,3735
2011-06-30,0,496,193,148,908,134,638,3625
2011-07-10,0,391,243,137,887,156,764,3414
2011-07-20,0,509,240,145,929,137,758,3435
2011-07-30,0,470,242,161,960,140,1004,3933
2011-08-10,0,469,280,133,806,146,844,3556
2011-08-20,0,458,270,149,928,174,896,3593
2011-08-30,26,472,334,170,1055,158,723,3960
2011-09-10,20,436,246,134,886,135,575,3475
2011-09-20,26,463,232,181,891,143,498,3668
2011-09-30,8,447,263,141,875,140,471,3823
2011-10-10,9,336,237,169,905,80,296,3774
2011-10-20,2,424,229,186,821,93,191,3629
2011-10-30,1,411,249,189,924,85,97,3876
2011-11-10,5,374,283,202,870,76,24,3460
2011-11-20,5,287,203,182,855,67,13,3516
2011-11-30,0,385,179,169,784,41,5,3527
2011-12-10,0,348,114,162,760,49,16,3414
2011-12-20,8,376,116,138,790,49,21,3324
2011-12-30,0,283,89,73,781,60,10,3344
2012-01-10,2,262,130,93,699,41,4,2659
2012-01-20,3,360,195,112,662,56,0,2427
2012-01-30,6,374,131,139,742,53,8,2315
2012-02-10,9,335,136,134,675,46,3,2085
2012-02-20,3,284,117,117,722,47,11,1953
2012-02-30,12,277,69,120,554,45,1,1772
2012-03-10,8,252,100,165,491,62,3,1872
2012-03-20,0,267,102,110,643,38,2,1960
2012-03-30,10,357,168,109,817,32,5,2837
2012-04-10,0,380,167,120,717,25,23,2816
2012-04-20,8,455,172,148,720,50,41,3108
2012-04-30,6,343,221,157,720,41,54,3042
2012-05-10,10,416,191,131,829,51,119,3255
2012-05-20,6,404,179,157,796,59,255,3308
2012-05-30,2,459,239,149,1038,43,380,3904
2012-06-10,3,482,284,141,917,44,508,3621
2012-06-20,2,572,247,114,919,56,675,3708
2012-06-30,5,532,219,125,992,46,806,3644
2012-07-10,6,429,214,134,881,128,974,3758
2012-07-20,11,488,217,132,911,187,1049,3707
2012-07-30,8,562,248,130,959,156,1141,3935
2012-08-10,3,514,257,156,862,103,994,3640
2012-08-20,3,522,273,128,896,108,945,3543
2012-08-30,3,489,332,147,942,105,976,4022
2012-09-10,2,453,243,129,801,73,625,3720
2012-09-20,1,458,208,180,797,116,444,3908
2012-09-30,5,395,277,179,821,59,324,3898
2012-10-10,6,377,268,163,813,56,235,3708
2012-10-20,1,462,207,156,769,47,110,3588
2012-10-30,0,437,234,208,882,31,53,3908
2012-11-10,8,409,180,120,775,14,22,3384
2012-11-20,7,360,209,105,849,23,21,3523
2012-11-30,3,350,152,111,852,21,17,3534
2012-12-10,7,409,160,150,874,21,32,3389
2012-12-20,6,412,113,110,801,8,18,3310
2012-12-30,0,328,80,53,813,2,15,3251
2013-01-10,2,319,109,74,728,0,13,2451
2013-01-20,7,368,204,79,680,3,9,2166
2013-01-30,3,377,105,91,667,0,4,2139
2013-02-10,3,335,92,113,679,0,0,1903
2013-02-20,4,377,89,87,660,1,23,2079
2013-02-30,9,321,90,77,501,0,6,1784
