date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2011-01-01,340,3,0,73,220,26,20,0
2011-01-06,751,9,0,85,322,35,29,0
2011-01-11,1046,49,0,84,370,139,36,1
2011-01-16,1065,30,0,92,386,98,26,1
2011-01-21,878,24,0,78,376,79,26,0
2011-01-26,1141,41,0,122,428,93,37,0
2011-02-01,1070,38,0,113,338,59,27,0
2011-02-06,976,55,0,100,318,74,22,0
2011-02-11,985,31,0,82,301,72,29,1
2011-02-16,962,40,0,78,357,48,28,1
2011-02-21,1042,36,0,75,395,73,25,1
2011-02-26,562,26,0,40,224,35,15,1
2011-03-01,996,38,0,106,398,58,25,5
2011-03-06,983,40,0,101,375,74,30,5
2011-03-11,1059,16,0,80,398,74,32,4
2011-03-16,1008,42,0,83,360,92,46,4
2011-03-21,1129,45,0,110,359,107,34,2
2011-03-26,1555,77,0,160,473,119,55,9
2011-04-01,1350,51,0,130,395,121,46,6
2011-04-06,1525,47,1,181,387,112,39,10
2011-04-11,1546,53,4,192,387,108,49,8
2011-04-16,1518,65,0,180,411,140,41,23
2011-04-21,1592,36,1,177,453,96,46,24
2011-04-26,1632,54,0,208,484,89,52,40
2011-05-01,1578,56,2,186,472,111,41,78
2011-05-06,1630,45,3,181,521,96,42,99
2011-05-11,1682,49,3,200,499,101,50,105
2011-05-16,1708,50,0,232,470,75,53,113
2011-05-21,1731,48,0,243,489,78,48,179
2011-05-26,2045,67,0,251,525,125,66,204
2011-06-01,1772,53,1,209,478,148,70,246
2011-06-06,1776,67,0,204,411,136,89,247
2011-06-11,1835,52,0,176,419,121,82,230
2011-06-16,1900,52,0,212,448,114,60,343
2011-06-21,1811,64,0,242,455,97,71,291
2011-06-26,1814,84,0,254,453,96,63,347
2011-07-01,1680,53,0,189,442,119,64,378
2011-07-06,1734,84,0,202,445,124,92,386
2011-07-11,1688,76,0,247,443,103,62,363
2011-07-16,1747,69,0,262,486,137,75,395
2011-07-21,1812,83,0,235,458,112,57,468
2011-07-26,2121,78,0,235,502,130,83,536
2011-08-01,1808,68,0,267,387,121,79,410
2011-08-06,1748,65,0,202,419,159,67,434
2011-08-11,1764,66,0,230,447,136,80,452
2011-08-16,1829,83,0,228,481,134,94,444
2011-08-21,1814,85,14,209,475,143,64,346
2011-08-26,2146,85,12,263,580,191,94,377
2011-09-01,1775,57,10,206,474,132,80,340
2011-09-06,1700,77,10,230,412,114,55,235
2011-09-11,1813,83,11,236,427,125,76,240
2011-09-16,1855,98,15,227,464,107,67,258
2011-09-21,1948,66,5,219,438,123,80,239
2011-09-26,1875,75,3,228,437,140,60,232
2011-10-01,1858,106,4,196,444,125,40,115
2011-10-06,1916,63,5,140,461,112,40,181
2011-10-11,1858,87,1,228,417,126,44,108
2011-10-16,1771,99,1,196,404,103,49,83
2011-10-21,1745,92,0,196,399,108,41,71
2011-10-26,2131,97,1,215,525,141,44,26
2011-11-01,1834,117,0,212,461,149,40,11
2011-11-06,1626,85,5,162,409,134,36,13
2011-11-11,1680,82,2,149,422,99,31,9
2011-11-16,1836,100,3,138,433,104,36,4
2011-11-21,1830,89,0,213,403,104,18,3
2011-11-26,1697,80,0,172,381,75,23,2
2011-12-01,1693,79,0,152,359,66,28,8
2011-12-06,1721,83,0,196,401,48,21,8
2011-12-11,1624,85,4,195,407,59,26,14
2011-12-16,1700,53,4,181,383,57,23,7
2011-12-21,1692,40,0,136,382,32,23,8
2011-12-26,1652,33,0,147,399,57,37,2
2012-01-01,1263,27,0,129,334,61,18,4
2012-01-06,1396,66,2,133,365,69,23,0
2012-01-11,1284,52,2,152,331,137,34,0
2012-01-16,1143,60,1,208,331,58,22,0
2012-01-21,987,61,2,156,335,45,23,5
2012-01-26,1328,78,4,218,407,86,30,3
2012-02-01,1052,67,7,168,306,72,27,1
2012-02-06,1033,67,2,167,369,64,19,2
2012-02-11,1020,55,2,140,356,63,17,2
2012-02-16,933,62,1,144,366,54,30,9
2012-02-21,983,66,8,139,318,36,27,1
2012-02-26,789,54,4,138,236,33,18,0
2012-03-01,895,85,4,132,250,60,30,1
