date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2011-01-01,5221,156,0,534,2102,470,174,2
2011-02-01,5597,226,0,488,1933,361,146,4
2011-03-01,6730,258,0,640,2363,524,222,29
2011-04-01,9163,306,6,1068,2517,666,273,111
2011-05-01,10374,315,8,1293,2976,586,300,778
2011-06-01,10908,372,1,1297,2664,712,435,1704
2011-07-01,10782,443,0,1370,2776,725,433,2526
2011-08-01,11109,452,26,1399,2789,884,478,2463
2011-09-01,10966,456,54,1346,2652,741,418,1544
2011-10-01,11279,544,12,1171,2650,715,258,584
2011-11-01,10503,553,10,1046,2509,665,184,42
2011-12-01,10082,373,8,1007,2331,319,158,47
2012-01-01,7401,344,11,996,2103,456,150,12
2012-02-01,5810,371,24,896,1951,322,138,15
2012-03-01,6669,384,18,876,1951,370,132,10
2012-04-01,8966,425,14,1178,2157,560,116,118
2012-05-01,10467,437,18,1279,2663,609,153,754
2012-06-01,10973,380,10,1586,2828,750,146,1989
2012-07-01,11400,396,25,1479,2751,679,471,3164
2012-08-01,11205,431,9,1525,2700,862,316,2915
2012-09-01,11526,488,8,1306,2419,728,248,1393
2012-10-01,11204,527,7,1276,2464,709,134,398
2012-11-01,10441,336,18,1119,2476,541,58,60
2012-12-01,9950,313,13,1149,2488,353,31,65
2013-01-01,6756,244,12,1064,2075,418,3,26
2013-02-01,5766,277,16,1033,1840,271,1,29
2013-03-01,7144,274,19,1165,2031,390,93,28
2013-04-01,9118,417,28,1310,2439,501,131,95
2013-05-01,10769,436,15,1491,2648,541,172,779
2013-06-01,10395,477,19,1614,2612,834,297,1862
2013-07-01,10253,473,18,1744,2204,869,367,3070
2013-08-01,11051,486,49,1616,2387,893,481,2873
2013-09-01,11355,436,29,1509,2389,881,349,1729
2013-10-01,11420,623,14,1546,2339,863,193,723
2013-11-01,10665,480,18,1703,2311,579,42,65
2013-12-01,9654,313,16,1409,2541,363,36,26
2014-01-01,7412,302,16,1283,2244,450,40,40
2014-02-01,5555,285,28,1173,1952,295,41,66
2014-03-01,6480,289,38,1110,2036,403,109,94
2014-04-01,9098,325,33,1145,2156,443,117,140
2014-05-01,12201,366,22,1282,2724,536,185,777
2014-06-01,11791,450,26,1381,2558,723,252,1908
2014-07-01,12568,474,9,1376,2766,705,353,2880
2014-08-01,12542,421,18,1308,2759,850,716,2829
2014-09-01,12009,487,19,1384,2472,791,441,1549
2014-10-01,12168,509,16,1492,2520,670,210,533
2014-11-01,11711,476,8,1369,2446,590,92,62
2014-12-01,10770,274,9,1334,2781,375,71,36
2015-01-01,6913,226,13,1202,2352,399,66,13
2015-02-01,5234,184,9,1114,1884,309,56,3
2015-03-01,6472,220,38,1185,2119,376,128,11
2015-04-01,8762,314,15,1225,2205,448,159,75
2015-05-01,11091,366,18,1200,2695,465,196,856
2015-06-01,10711,261,22,1291,2678,630,214,1819
2015-07-01,10885,286,19,1303,2684,588,444,3004
2015-08-01,11244,338,41,1333,2843,657,647,3171
2015-09-01,11970,268,26,1323,2640,613,317,1767
2015-10-01,12299,318,15,1259,2873,690,119,606
2015-11-01,10691,290,14,1225,2372,551,12,80
2015-12-01,10176,188,29,1016,2416,410,5,31
2016-01-01,6717,147,27,920,2118,479,2,36
