date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2011-01-10,1091,12,0,158,542,61,49,0
2011-01-20,2111,79,0,176,756,237,62,2
2011-01-30,2019,65,0,200,804,172,63,0
2011-02-10,2046,93,0,213,656,133,49,0
2011-02-20,1947,71,0,160,658,120,57,2
2011-02-30,1604,62,0,115,619,108,40,2
2011-03-10,1979,78,0,207,773,132,55,10
2011-03-20,2067,58,0,163,758,166,78,8
2011-03-30,2684,122,0,270,832,226,89,11
2011-04-10,2875,98,1,311,782,233,85,16
2011-04-20,3064,118,4,372,798,248,90,31
2011-04-30,3224,90,1,385,937,185,98,64
2011-05-10,3208,101,5,367,993,207,83,177
2011-05-20,3390,99,3,432,969,176,103,218
2011-05-30,3776,115,0,494,1014,203,114,383
2011-06-10,3548,120,1,413,889,284,159,493
2011-06-20,3735,104,0,388,867,235,142,573
2011-06-30,3625,148,0,496,908,193,134,638
2011-07-10,3414,137,0,391,887,243,156,764
2011-07-20,3435,145,0,509,929,240,137,758
2011-07-30,3933,161,0,470,960,242,140,1004
2011-08-10,3556,133,0,469,806,280,146,844
2011-08-20,3593,149,0,458,928,270,174,896
2011-08-30,3960,170,26,472,1055,334,158,723
2011-09-10,3475,134,20,436,886,246,135,575
2011-09-20,3668,181,26,463,891,232,143,498
2011-09-30,3823,141,8,447,875,263,140,471
2011-10-10,3774,169,9,336,905,237,80,296
2011-10-20,3629,186,2,424,821,229,93,191
2011-10-30,3876,189,1,411,924,249,85,97
2011-11-10,3460,202,5,374,870,283,76,24
2011-11-20,3516,182,5,287,855,203,67,13
2011-11-30,3527,169,0,385,784,179,41,5
2011-12-10,3414,162,0,348,760,114,49,16
2011-12-20,3324,138,8,376,790,116,49,21
2011-12-30,3344,73,0,283,781,89,60,10
2012-01-10,2659,93,2,262,699,130,41,4
2012-01-20,2427,112,3,360,662,195,56,0
2012-01-30,2315,139,6,374,742,131,53,8
2012-02-10,2085,134,9,335,675,136,46,3
2012-02-20,1953,117,3,284,722,117,47,11
2012-02-30,1772,120,12,277,554,69,45,1
2012-03-10,1872,165,8,252,491,100,62,3
2012-03-20,1960,110,0,267,643,102,38,2
2012-03-30,2837,109,10,357,817,168,32,5
2012-04-10,2816,120,0,380,717,167,25,23
2012-04-20,3108,148,8,455,720,172,50,41
2012-04-30,3042,157,6,343,720,221,41,54
2012-05-10,3255,131,10,416,829,191,51,119
2012-05-20,3308,157,6,404,796,179,59,255
2012-05-30,3904,149,2,459,1038,239,43,380
2012-06-10,3621,141,3,482,917,284,44,508
2012-06-20,3708,114,2,572,919,247,56,675
2012-06-30,3644,125,5,532,992,219,46,806
2012-07-10,3758,134,6,429,881,214,128,974
2012-07-20,3707,132,11,488,911,217,187,1049
2012-07-30,3935,130,8,562,959,248,156,1141
2012-08-10,3640,156,3,514,862,257,103,994
2012-08-20,3543,128,3,522,896,273,108,945
2012-08-30,4022,147,3,489,942,332,105,976
2012-09-10,3720,129,2,453,801,243,73,625
2012-09-20,3908,180,1,458,797,208,116,444
2012-09-30,3898,179,5,395,821,277,59,324
2012-10-10,3708,163,6,377,813,268,56,235
2012-10-20,3588,156,1,462,769,207,47,110
2012-10-30,3908,208,0,437,882,234,31,53
2012-11-10,3384,120,8,409,775,180,14,22
2012-11-20,3523,105,7,360,849,209,23,21
2012-11-30,3534,111,3,350,852,152,21,17
2012-12-10,3389,150,7,409,874,160,21,32
2012-12-20,3310,110,6,412,801,113,8,18
2012-12-30,3251,53,0,328,813,80,2,15
2013-01-10,2451,74,2,319,728,109,0,13
2013-01-20,2166,79,7,368,680,204,3,9
2013-01-30,2139,91,3,377,667,105,0,4
2013-02-10,1903,113,3,335,679,92,0,0
2013-02-20,2079,87,4,377,660,89,1,23
2013-02-30,1784,77,9,321,501,90,0,6
2013-03-10,2172,95,1,323,600,111,20,14
2013-03-20,2052,75,7,386,645,92,33,0
2013-03-30,2920,104,11,456,786,187,40,14
2013-04-10,2928,137,2,484,762,161,45,12
2013-04-20,2936,159,14,419,819,163,42,21
2013-04-30,3254,121,12,407,858,177,44,62
2013-05-10,3418,152,8,487,808,183,44,176
2013-05-20,3521,131,2,476,863,167,39,256
2013-05-30,3830,153,5,528,977,191,89,347
2013-06-10,3418,131,3,470,860,289,109,438
2013-06-20,3554,187,7,579,926,275,112,635
2013-06-30,3423,159,9,565,826,270,76,789
2013-07-10,3288,162,5,558,770,272,160,944
2013-07-20,3309,138,6,527,711,275,127,1047
2013-07-30,3656,173,7,659,723,322,80,1079
2013-08-10,3424,144,14,538,678,243,153,1035
2013-08-20,3587,176,20,539,740,299,146,906
2013-08-30,4040,166,15,539,969,351,182,932
2013-09-10,3426,131,12,507,794,354,142,575
2013-09-20,3910,174,8,511,818,277,131,575
2013-09-30,4019,131,9,491,777,250,76,579
2013-10-10,3845,166,6,514,734,319,64,345
2013-10-20,3658,156,0,402,690,260,69,252
2013-10-30,3917,301,8,630,915,284,60,126
2013-11-10,3370,180,9,588,713,164,14,43
2013-11-20,3575,136,2,562,771,217,16,11
2013-11-30,3720,164,7,553,827,198,12,11
2013-12-10,3202,121,6,482,831,152,12,14
2013-12-20,3211,126,10,503,854,134,11,7
2013-12-30,3241,66,0,424,856,77,13,5
2014-01-10,2475,78,5,381,719,106,12,2
2014-01-20,2478,109,4,444,742,213,11,2
2014-01-30,2459,115,7,458,783,131,17,36
2014-02-10,2032,90,0,413,732,96,13,8
2014-02-20,1899,101,15,427,701,113,17,22
2014-02-30,1624,94,13,333,519,86,11,36
2014-03-10,2094,106,8,335,686,156,31,32
2014-03-20,1949,94,20,370,632,112,39,23
2014-03-30,2437,89,10,405,718,135,39,39
2014-04-10,2766,119,20,415,666,161,49,28
2014-04-20,3090,123,10,377,742,120,31,58
2014-04-30,3242,83,3,353,748,162,37,54
2014-05-10,3769,122,8,341,933,152,61,185
2014-05-20,3912,116,11,449,879,167,60,240
2014-05-30,4520,128,3,492,912,217,64,352
2014-06-10,3913,133,7,488,903,307,81,489
2014-06-20,3892,146,17,449,831,221,75,560
2014-06-30,3986,171,2,444,824,195,96,859
2014-07-10,4047,159,3,501,912,184,79,847
2014-07-20,4004,142,3,462,906,233,109,986
2014-07-30,4517,173,3,413,948,288,165,1047
2014-08-10,4128,158,5,461,895,259,208,1032
2014-08-20,3977,129,5,412,926,278,228,812
2014-08-30,4437,134,8,435,938,313,280,985
2014-09-10,4024,165,2,420,838,242,202,534
2014-09-20,4061,164,11,498,782,260,148,554
2014-09-30,3924,158,6,466,852,289,91,461
2014-10-10,3776,176,6,475,792,209,94,257
2014-10-20,3946,159,5,435,813,218,61,218
2014-10-30,4446,174,5,582,915,243,55,58
2014-11-10,3821,173,5,434,759,217,26,29
2014-11-20,3943,130,0,460,860,222,36,9
2014-11-30,3947,173,3,475,827,151,30,24
2014-12-10,3668,108,2,455,886,160,24,13
2014-12-20,3637,120,7,516,920,126,24,18
2014-12-30,3465,46,0,363,975,89,23,5
2015-01-10,2466,97,2,395,795,109,22,5
2015-01-20,2227,71,3,337,713,160,21,3
2015-01-30,2220,58,8,470,844,130,23,5
2015-02-10,1820,54,0,346,726,93,20,0
2015-02-20,1854,76,6,431,647,102,20,3
2015-02-30,1560,54,3,337,511,114,16,0
2015-03-10,2170,55,14,378,756,155,31,5
2015-03-20,1905,79,14,366,645,109,48,2
2015-03-30,2397,86,10,441,718,112,49,4
2015-04-10,2590,86,2,361,685,146,48,0
2015-04-20,2888,117,6,414,682,145,49,28
2015-04-30,3284,111,7,450,838,157,62,47
2015-05-10,3553,106,4,355,844,129,51,221
2015-05-20,3542,126,10,415,906,128,63,250
2015-05-30,3996,134,4,430,945,208,82,385
2015-06-10,3509,95,7,482,855,226,70,389
2015-06-20,3667,78,7,429,902,191,70,599
2015-06-30,3535,88,8,380,921,213,74,831
2015-07-10,3622,117,9,435,949,209,124,996
2015-07-20,3422,65,4,420,839,173,118,967
2015-07-30,3841,104,6,448,896,206,202,1041
2015-08-10,3524,109,10,424,950,206,231,1034
2015-08-20,3608,129,18,424,855,183,227,1027
2015-08-30,4112,100,13,485,1038,268,189,1110
2015-09-10,3734,80,13,387,904,235,142,672
2015-09-20,3996,90,13,436,880,180,105,628
2015-09-30,4240,98,0,500,856,198,70,467
2015-10-10,4010,84,4,434,953,233,58,296
2015-10-20,3972,97,0,429,941,240,40,180
2015-10-30,4317,137,11,396,979,217,21,130
2015-11-10,3471,80,3,476,847,192,10,34
2015-11-20,3596,88,5,392,768,163,1,26
2015-11-30,3624,122,6,357,757,196,1,20
2015-12-10,3483,89,5,324,826,146,4,21
2015-12-20,3414,70,16,360,733,142,0,5
2015-12-30,3279,29,8,332,857,122,1,5
2016-01-10,2337,55,8,237,702,127,2,8
2016-01-20,2143,57,11,351,703,204,0,5
2016-01-30,2237,35,8,332,713,148,0,23
2016-02-10,1997,58,4,302,543,136,0,37
2016-02-20,2039,79,13,281,627,138,3,28
2016-02-30,1868,62,0,328,619,122,0,19
2016-03-10,2226,82,27,286,583,137,17,7
2016-03-20,2161,84,12,333,652,130,28,10
2016-03-30,2635,75,11,284,767,191,35,29
2016-04-10,2625,94,5,287,725,143,33,38
2016-04-20,2912,102,4,310,726,179,48,77
