date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2011-01-01,27,1,0,12,21,2,6,0
2011-01-02,44,0,0,12,43,7,6,0
2011-01-03,79,0,0,12,45,7,4,0
2011-01-04,94,1,0,17,55,4,0,0
2011-01-05,96,1,0,20,56,6,4,0
2011-01-06,140,1,0,18,61,4,6,0
2011-01-07,142,3,0,14,60,6,8,0
2011-01-08,164,1,0,17,64,8,5,0
2011-01-09,152,1,0,15,66,7,6,0
2011-01-10,153,3,0,21,71,10,4,0
2011-01-11,207,6,0,14,73,25,0,0
2011-01-12,202,14,0,25,76,29,4,0
2011-01-13,205,15,0,12,75,36,11,0
2011-01-14,210,9,0,13,79,26,10,0
2011-01-15,222,5,0,20,67,23,11,1
2011-01-16,195,3,0,14,77,23,6,1
2011-01-17,211,2,0,14,77,20,8,0
2011-01-18,241,7,0,23,85,18,0,0
2011-01-19,214,9,0,19,77,14,4,0
2011-01-20,204,9,0,22,70,23,8,0
2011-01-21,193,6,0,24,82,15,9,0
2011-01-22,170,8,0,13,76,15,5,0
2011-01-23,159,6,0,13,72,15,6,0
2011-01-24,161,1,0,11,73,17,5,0
2011-01-25,195,3,0,17,73,17,1,0
2011-01-26,184,6,0,15,73,20,9,0
2011-01-27,208,9,0,19,67,17,7,0
2011-01-28,188,6,0,18,65,9,5,0
2011-01-29,191,5,0,27,74,12,6,0
2011-01-30,190,5,0,16,77,16,6,0
2011-01-31,180,10,0,27,72,19,4,0
2011-02-01,209,10,0,22,68,8,2,0
2011-02-02,217,5,0,23,63,8,7,0
2011-02-03,219,4,0,25,76,8,6,0
2011-02-04,211,11,0,25,63,20,7,0
2011-02-05,214,8,0,18,68,15,5,0
2011-02-06,184,7,0,21,64,26,6,0
2011-02-07,191,10,0,22,71,11,4,0
2011-02-08,215,11,0,23,68,14,0,0
2011-02-09,192,12,0,15,59,14,4,0
2011-02-10,194,15,0,19,56,9,8,0
2011-02-11,199,7,0,20,64,20,9,0
2011-02-12,200,4,0,25,58,15,6,0
2011-02-13,195,2,0,11,59,11,7,0
2011-02-14,187,6,0,11,60,14,4,0
2011-02-15,204,12,0,15,60,12,3,1
2011-02-16,194,8,0,18,70,11,4,0
2011-02-17,211,8,0,18,74,9,6,0
2011-02-18,178,7,0,17,72,9,7,0
2011-02-19,186,11,0,14,69,7,5,0
2011-02-20,193,6,0,11,72,12,6,1
2011-02-21,198,6,0,18,73,12,7,0
2011-02-22,198,5,0,14,81,6,1,0
2011-02-23,210,9,0,15,75,9,5,0
2011-02-24,218,6,0,18,86,22,6,0
2011-02-25,218,10,0,10,80,24,6,1
2011-02-26,193,10,0,6,71,10,3,1
2011-02-27,179,9,0,18,75,12,6,0
2011-02-28,190,7,0,16,78,13,6,0
2011-03-01,193,7,0,24,75,13,0,1
2011-03-02,179,5,0,28,77,7,5,1
