date,type,count
2011-01-01,Merchant,27
2011-01-01,Tugs,12
2011-01-01,Tanker,21
2011-01-02,Tanker,43
2011-01-03,Tanker,45
2011-01-04,Tanker,55
2011-01-05,Tanker,56
2011-01-06,Tanker,61
2011-01-07,Tanker,60
2011-01-02,Tugs,12
2011-01-03,Tugs,12
2011-01-04,Tugs,17
2011-01-05,Tugs,20
2011-01-06,Tugs,18
2011-01-07,Tugs,14
2011-01-08,Tugs,17
2011-01-02,Merchant,44
2011-01-03,Merchant,79
2011-01-04,Merchant,94
2011-01-05,Merchant,96
2011-01-06,Merchant,140
2011-01-07,Merchant,142
2011-01-08,Merchant,164
2011-01-09,Merchant,152
2011-01-10,Merchant,153
2011-01-01,Fishing,2
2011-01-01,Pleasure Crafts,6
2011-01-08,Tanker,64
2011-01-01,Barges,1
2011-01-02,Fishing,7
2011-01-09,Tanker,66
2011-01-03,Fishing,7
2011-01-04,Fishing,4
2011-01-05,Fishing,6
2011-01-06,Fishing,4
2011-01-07,Fishing,6
2011-01-08,Fishing,8
2011-01-09,Fishing,7
2011-01-10,Fishing,10
2011-01-11,Fishing,25
2011-01-12,Fishing,29
2011-01-13,Fishing,36
2011-01-14,Fishing,26
2011-01-15,Fishing,23
2011-01-16,Fishing,23
2011-01-17,Fishing,20
2011-01-18,Fishing,18
2011-01-19,Fishing,14
2011-01-20,Fishing,23
2011-01-21,Fishing,15
2011-01-22,Fishing,15
2011-01-23,Fishing,15
2011-01-24,Fishing,17
2011-01-02,Pleasure Crafts,6
2011-01-11,Merchant,207
2011-01-12,Merchant,202
2011-01-13,Merchant,205
2011-01-03,Pleasure Crafts,4
2011-01-10,Tanker,71
2011-01-11,Tanker,73
2011-01-12,Tanker,76
2011-01-13,Tanker,75
2011-01-14,Tanker,79
2011-01-04,Barges,1
2011-01-14,Merchant,210
2011-01-05,Pleasure Crafts,4
2011-01-15,Merchant,222
2011-01-05,Barges,1
2011-01-06,Pleasure Crafts,6
2011-01-06,Barges,1
2011-01-07,Barges,3
2011-01-08,Barges,1
2011-01-09,Barges,1
2011-01-10,Barges,3
2011-01-16,Merchant,195
2011-01-17,Merchant,211
2011-01-18,Merchant,241
2011-01-19,Merchant,214
2011-01-20,Merchant,204
2011-01-21,Merchant,193
2011-01-07,Pleasure Crafts,8
2011-01-15,Tanker,67
2011-01-16,Tanker,77
2011-01-17,Tanker,77
2011-01-18,Tanker,85
2011-01-19,Tanker,77
2011-01-20,Tanker,70
2011-01-21,Tanker,82
2011-01-22,Merchant,170
2011-01-23,Merchant,159
2011-01-24,Merchant,161
2011-01-25,Merchant,195
2011-01-26,Merchant,184
2011-01-27,Merchant,208
2011-01-28,Merchant,188
2011-01-29,Merchant,191
2011-01-30,Merchant,190
2011-01-31,Merchant,180
2011-02-01,Merchant,209
2011-02-02,Merchant,217
2011-01-08,Pleasure Crafts,5
2011-01-09,Tugs,15
2011-02-03,Merchant,219
2011-02-04,Merchant,211
2011-02-05,Merchant,214
2011-02-06,Merchant,184
2011-02-07,Merchant,191
2011-02-08,Merchant,215
2011-02-09,Merchant,192
2011-02-10,Merchant,194
2011-02-11,Merchant,199
2011-02-12,Merchant,200
2011-02-13,Merchant,195
2011-02-14,Merchant,187
2011-02-15,Merchant,204
2011-02-16,Merchant,194
2011-02-17,Merchant,211
2011-02-18,Merchant,178
2011-01-10,Tugs,21
2011-01-09,Pleasure Crafts,6
2011-01-11,Tugs,14
2011-01-12,Tugs,25
2011-01-22,Tanker,76
2011-01-23,Tanker,72
2011-01-24,Tanker,73
2011-01-25,Tanker,73
2011-01-26,Tanker,73
2011-01-10,Pleasure Crafts,4
2011-01-13,Tugs,12
2011-01-14,Tugs,13
2011-01-15,Tugs,20
2011-01-27,Tanker,67
2011-01-28,Tanker,65
2011-01-11,Barges,6
2011-01-12,Barges,14
2011-01-29,Tanker,74
2011-01-12,Pleasure Crafts,4
2011-01-13,Barges,15
2011-01-13,Pleasure Crafts,11
2011-01-14,Barges,9
2011-01-14,Pleasure Crafts,10
2011-02-19,Merchant,186
2011-02-20,Merchant,193
2011-02-21,Merchant,198
2011-02-22,Merchant,198
2011-02-23,Merchant,210
2011-02-24,Merchant,218
2011-02-25,Merchant,218
2011-02-26,Merchant,193
2011-02-27,Merchant,179
2011-02-28,Merchant,190
2011-01-16,Tugs,14
2011-01-15,Barges,5
